PD,Raw_Capacity,Final_Limit,Risk_Haircut_Pct
0.13314019,25012.334,21682.188,13.314019
0.17199782,23982.777,19857.793,17.199781
0.017714333,24021.549,23596.023,1.7714332
0.25554696,12007.672,8939.148,25.554695
0.2983145,20015.951,14044.902,29.831451
0.29881,7223.908,5065.332,29.881
0.21899773,15001.187,11715.961,21.899773
0.42751923,7997.4937,4578.4116,42.751923
0.59768355,12972.413,5219.015,59.768356
0.66933274,11999.713,3967.912,66.93327
0.35305196,30009.84,19414.807,35.305195
0.5002892,4824.1943,2410.702,50.02892
0.5152637,4997.9307,2422.6785,51.526367
0.22673766,9999.348,7732.1187,22.673767
0.5773107,35019.305,14802.286,57.731068
0.5346024,7288.342,3391.9768,53.46024
0.40748683,10005.444,5928.358,40.748684
0.6205014,11874.193,4506.2397,62.05014
0.65807676,9996.279,3417.9602,65.80768
0.31757453,15005.685,10240.262,31.757454
0.1308659,3999.377,3475.9949,13.08659
0.57061034,5291.5957,2272.1565,57.061035
0.73038,34987.86,9433.427,73.038
0.2998065,35130.184,24597.928,29.98065
0.5578612,4565.552,2018.6075,55.78612
0.19714902,19999.389,16056.528,19.714903
0.6990079,9600.318,2889.6196,69.900795
0.5132796,8007.382,3897.356,51.32796
0.3719716,20994.19,13184.947,37.19716
0.23046054,20998.562,16159.223,23.046055
0.5884862,12007.475,4941.2417,58.848618
0.3746283,34991.24,21882.53,37.46283
0.574617,15002.504,6381.8096,57.461704
0.56800556,3005.9082,1298.5356,56.800556
0.5686401,3511.959,1514.9182,56.86401
0.26617512,9999.66,7337.999,26.617512
0.56522053,35071.03,15248.164,56.522053
0.70470864,15469.366,4567.97,70.47086
0.5165951,11996.958,5799.388,51.65951
0.75901407,8891.201,2142.6543,75.901405
0.49906608,34991.234,17528.295,49.90661
0.3798014,6002.0146,3722.4412,37.98014
0.43652406,5999.9316,3380.8174,43.652405
0.50356716,28030.375,13915.198,50.356716
0.75787777,3510.5352,849.97864,75.78777
0.7508808,6834.6387,1702.6399,75.08808
0.5441562,19994.234,9114.248,54.41562
0.098644875,14019.556,12636.599,9.864488
0.4118059,12009.652,7064.007,41.18059
0.54498285,12010.969,5465.197,54.498283
0.33030224,15007.147,10050.253,33.030224
0.6079955,35040.465,13736.02,60.799553
0.61762816,5286.509,2021.4121,61.762817
0.27857664,5997.253,4326.5586,27.857664
0.36943275,8399.916,5296.712,36.943275
0.62863195,5003.707,1858.2169,62.863194
