PD,Raw_Capacity,Final_Limit,Risk_Haircut_Pct
0.69769496,27285.107,8248.426,69.76949
0.049608465,25895.758,24611.11,4.9608464
0.75625926,11514.637,2806.586,75.62592
0.49825338,8003.1533,4015.5554,49.825336
0.13500254,3987.3823,3449.0754,13.500254
0.24721739,21946.361,16520.838,24.721739
0.24125436,5994.7954,4548.525,24.125437
0.69927657,24856.6,7474.962,69.92766
0.7229398,5292.7036,1466.3976,72.293976
0.5342038,6806.0835,3170.2476,53.420383
0.075453825,7502.9336,6936.8086,7.5453825
0.58696234,5997.5825,2477.2275,58.696236
0.7021421,9987.1455,2974.75,70.21421
0.70452243,18494.562,5464.7285,70.45224
0.48403966,12013.115,6198.291,48.403965
0.7604038,5008.233,1199.9535,76.04038
0.4101005,5002.3574,2950.8884,41.010048
0.62220395,6998.998,2644.1938,62.220394
0.14322667,30007.025,25709.219,14.322667
0.55433714,25032.416,11156.018,55.433716
0.526956,11799.534,5581.6987,52.695602
0.71052176,19987.848,5786.047,71.05218
0.6814081,10012.049,3189.7576,68.14081
0.26618123,19999.426,14675.954,26.618122
0.12599084,7505.211,6559.623,12.599084
0.640054,14550.922,5237.5464,64.0054
0.4846062,10003.301,5155.639,48.46062
0.4131411,10002.517,5870.0654,41.31411
0.38006082,28929.736,17934.678,38.00608
0.4274201,19295.607,11048.276,42.742012
0.8566941,15009.55,2150.957,85.66941
0.43299899,5978.6196,3389.8833,43.2999
0.38708305,19950.896,12228.242,38.708305
0.49909183,1086.0995,544.0361,49.909184
0.6335041,16851.217,6175.902,63.35041
0.42391464,12011.306,6919.537,42.391464
0.42403466,6005.5283,3458.976,42.403465
0.7713369,16008.032,3660.446,77.13369
0.576189,14997.641,6356.1655,57.618896
0.31086385,9515.159,6557.24,31.086386
0.68932426,19989.723,6210.322,68.93243
0.7519338,2997.0073,743.4562,75.19338
0.2877643,14872.621,10592.812,28.776432
0.7078937,8008.3413,2339.2866,70.789375
0.49841207,34998.555,17554.852,49.841206
0.29606077,15999.649,11262.78,29.606077
0.16339995,12003.417,10042.06,16.339994
0.3849058,8009.7446,4926.7476,38.490578
0.20977066,4001.018,3161.7217,20.977066
0.78954935,30063.3,6326.8413,78.95493
0.06778204,8232.894,7674.851,6.7782035
0.76346916,10671.627,2524.169,76.34692
0.38239533,21963.678,13564.87,38.239532
